GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringOTPAssignment,com.rapipay.app.exception,OtpLengthException,4,0,0,0,2,0,1,0,1,0
SpringOTPAssignment,com.rapipay.app.exception,GlobalExceptionHandler,39,0,0,0,5,0,3,0,3,0
SpringOTPAssignment,com.rapipay.app.exception,EmailNotFoundException,4,0,0,0,2,0,1,0,1,0
SpringOTPAssignment,com.rapipay.app.exception,ErrorDetails,21,0,0,0,8,0,4,0,4,0
SpringOTPAssignment,com.rapipay.app.exception,InvalidEmailException,4,0,0,0,2,0,1,0,1,0
SpringOTPAssignment,com.rapipay.app.exception,InvalidOtpException,4,0,0,0,2,0,1,0,1,0
SpringOTPAssignment,com.rapipay.app.services,MailServiceImpl,291,0,18,0,61,0,17,0,8,0
SpringOTPAssignment,com.rapipay.app.services,SenderService,28,0,0,0,9,0,2,0,2,0
SpringOTPAssignment,com.rapipay.app,OtpApplication,8,0,0,0,3,0,2,0,2,0
SpringOTPAssignment,com.rapipay.app.beans,User,34,0,0,0,15,0,8,0,8,0
SpringOTPAssignment,com.rapipay.app.controller,Controller,31,0,0,0,8,0,5,0,5,0
